Song,Polyphony,Polyphony Rate,Pitch in Scale Rate,Scale Consistency,No. Pitches Used,No. Pitch Classes Used,Pitch Class Entropy,Pitch Entropy
image_0.png,2.861878453038674,0.5208333333333334,0.4980694980694981,0.7268339768339769,27,11,3.259825216845648,4.497084943011094
image_1.png,4.471354166666667,0.8098958333333334,0.45835760046592894,0.7542224810716366,29,11,3.3796737057348962,4.572916596755263
image_2.png,3.3307086614173227,0.7135416666666666,0.5555555555555556,0.7005516154452325,29,12,3.4676773243472727,4.539883381787198
image_3.png,4.041666666666667,0.8697916666666666,0.47744845360824745,0.7525773195876289,23,11,3.1608306763910834,4.084357280426332
image_4.png,4.1306666666666665,0.9036458333333334,0.5293737895416397,0.7030342156229825,26,11,3.1528817056743614,4.345735791275251
image_5.png,2.9322916666666665,0.5651041666666666,0.4369449378330373,0.7779751332149201,16,9,2.8915753347332105,3.832169299448585
image_6.png,3.6875,0.8411458333333334,0.5388418079096046,0.6878531073446328,17,11,3.202203983547295,3.4538374826650715
image_7.png,1.6405228758169934,0.1368421052631579,0.7091633466135459,0.8266932270916335,17,9,2.614928063684231,3.7032889902894297
image_8.png,1.6472303206997085,0.125,0.23185840707964603,0.8584070796460177,18,9,2.75337241180417,3.875927093612472
image_9.png,3.175202156334232,0.6953125,0.4303904923599321,0.7835314091680815,19,10,3.015630226097648,4.00139664034381
image_10.png,2.421787709497207,0.388268156424581,0.461361014994233,0.7416378316032295,13,10,3.0031649969675605,3.4440214328960064
image_11.png,4.200520833333333,0.8072916666666666,0.33725976441413513,0.8239305641661501,23,11,3.0634858420992335,4.214786396571554
image_12.png,4.336111111111111,0.8098958333333334,0.7098014093529789,0.8398462524023063,25,11,3.06223255712927,4.32035223714
image_13.png,3.1117021276595747,0.6657894736842105,0.6188034188034188,0.7572649572649572,16,10,2.896729635040516,3.4384800635112676
image_14.png,2.2344632768361583,0.3880208333333333,0.5018963337547409,0.7635903919089759,21,11,3.0040531234185863,3.9675227447970727
image_15.png,4.229333333333333,0.9466666666666667,0.7421185372005045,0.8190416141235813,22,11,3.1017848074390337,4.079746908997754
image_16.png,3.123989218328841,0.7265625,0.24158757549611734,0.9335634167385677,18,10,2.9802506467472347,3.618774019316496
image_17.png,3.088709677419355,0.7419354838709677,0.4969538729329852,0.7597911227154047,21,11,3.1488146372190653,4.0741555590779175
image_18.png,2.7392550143266474,0.4453125,0.4006276150627615,0.8232217573221757,23,10,3.0733137823640777,4.320526137718537
image_19.png,2.9216710182767622,0.6119791666666666,0.5540661304736372,0.8141197497765862,19,11,3.029100694274036,3.871706555221607
image_20.png,4.4609375,0.9114583333333334,0.5423234092235844,0.7589025102159953,26,9,2.9836604701519884,4.270657631072435
image_21.png,2.8231884057971013,0.5437158469945356,0.48973305954825463,0.6724845995893224,21,10,3.1564595405725457,4.128383560194217
image_22.png,2.7126436781609193,0.4036458333333333,0.5296610169491526,0.760593220338983,18,9,2.7835495092005362,3.8655177394658033
image_23.png,2.2857142857142856,0.375,0.5192307692307693,0.6875,20,11,3.182373856747598,4.0539265349389675
image_24.png,2.8119658119658117,0.4782608695652174,0.5268490374873354,0.9159067882472138,17,10,2.6182507457612383,3.741540869340369
image_25.png,2.7905759162303663,0.4973821989528796,0.3517823639774859,0.6894934333958724,23,11,2.9768314088877155,4.2180909954013295
image_26.png,3.868279569892473,0.7741935483870968,0.5726198749131342,0.7234190410006949,21,11,3.1951248869771414,4.024849072812675
image_27.png,2.8489583333333335,0.5807291666666666,0.526508226691042,0.6663619744058501,21,11,3.178326570557369,4.030576741261874
image_28.png,2.930747922437673,0.6510416666666666,0.3449905482041588,0.8865784499054821,19,11,2.906920868023283,3.5625860613090765
image_29.png,4.276041666666667,0.9140625,0.4823386114494519,0.8380024360535931,23,11,3.1731202251931196,4.060972865675451
image_30.png,3.7231182795698925,0.782258064516129,0.3155234657039711,0.7971119133574007,31,11,3.021432942976814,4.6756109680434
image_31.png,4.0546875,0.8307291666666666,0.5985870263326911,0.6820809248554913,25,11,3.377683783701972,4.2793961877392785
image_32.png,2.8820224719101124,0.5677083333333334,0.449317738791423,0.8469785575048733,23,12,3.2352620648105845,4.050133695770965
image_33.png,2.8805970149253732,0.3962765957446808,0.45984455958549225,0.7098445595854922,19,11,2.9971124011616177,3.7480691188764785
image_34.png,2.405027932960894,0.4661458333333333,0.4831591173054588,0.794425087108014,19,10,2.619081435694434,3.655242418557206
image_35.png,1.771014492753623,0.14583333333333334,0.513911620294599,0.7888707037643208,15,9,3.025386374173382,3.6420781321079585
image_36.png,1.873456790123457,0.12760416666666666,0.39373970345963755,0.71334431630972,16,8,2.570871253318967,3.846353727161075
image_37.png,2.8385416666666665,0.5572916666666666,0.3,0.755045871559633,23,10,3.0225608892884877,4.176522009567585
image_38.png,3.7580645161290325,0.7338709677419355,0.617310443490701,0.6859799713876967,28,12,3.456532978248579,4.5450330324522445
image_39.png,2.9557291666666665,0.6666666666666666,0.6696035242290749,0.7268722466960352,23,12,3.4029510472102693,4.3041577728045315
image_40.png,5.109375,0.9140625,0.7859327217125383,0.8425076452599388,33,12,3.0980442905660466,4.7304002156348375
image_41.png,2.736,0.5963541666666666,0.5536062378167641,0.7446393762183235,23,12,3.2462543022699797,4.1998976558346826
image_42.png,2.8141361256544504,0.577023498694517,0.6604651162790698,0.7413953488372093,28,10,3.19537868387995,4.536429832859633
image_43.png,4.213541666666667,0.8984375,0.515451174289246,0.7391841779975278,31,12,3.348931278551769,4.686618107848365
image_44.png,3.1119791666666665,0.703125,0.59581589958159,0.8560669456066946,18,9,3.025554197134906,3.8149995075146643
image_45.png,3.5598958333333335,0.8203125,0.7059253840526701,0.8010241404535479,28,12,3.3054031166461972,4.374974689099577
image_46.png,2.8984375,0.5833333333333334,0.444743935309973,0.7861635220125787,20,10,2.844855858846585,3.9645700971531364
image_47.png,2.296774193548387,0.23697916666666666,0.2907303370786517,0.8679775280898876,19,9,2.6114202290725688,3.912281329993961
image_48.png,2.845744680851064,0.5598958333333334,0.39158878504672895,0.7691588785046729,27,11,3.3082225978978426,4.56119663763543
image_49.png,4.645833333333333,0.8619791666666666,0.625,0.8167040358744395,29,12,3.2491862913192846,4.46684748289201
image_50.png,2.792,0.5651041666666666,0.5358166189111748,0.7344794651384909,25,12,3.2625226586504983,4.327742861898621
image_51.png,2.6792452830188678,0.5733333333333334,0.4426559356136821,0.7575452716297787,16,9,2.7992678012070638,3.7565081324237943
image_52.png,4.497311827956989,0.7849462365591398,0.6013150029886432,0.6724447101016139,27,12,3.2148520154339684,4.454085748589154
image_53.png,4.635416666666667,0.8020833333333334,0.41797752808988764,0.7202247191011236,32,11,3.19100747916546,4.634382292429998
image_54.png,2.2472826086956523,0.4166666666666667,0.407496977025393,0.777509068923821,16,10,3.084959406883053,3.7099630474846386
image_55.png,2.447674418604651,0.36578947368421055,0.3147268408551069,0.827790973871734,19,11,3.1424627071103233,3.9828296606857867
image_56.png,4.184895833333333,0.7864583333333334,0.43497199751088983,0.7230864965774736,34,12,3.363454352681009,4.7177413746127055
image_57.png,4.199468085106383,0.8882978723404256,0.5281823939202026,0.7036098796706777,21,12,3.351071530355372,4.078422757481238
image_58.png,3.556451612903226,0.6796875,0.7966742252456538,0.8087679516250945,20,10,2.8092565929398376,3.9710607497265
image_59.png,4.3984375,0.9114583333333334,0.6364712847838958,0.7341622261693309,30,12,3.1329170912958024,4.511617119071227
image_60.png,3.9088541666666665,0.8723958333333334,0.49566955363091275,0.7281812125249834,27,11,3.228395449372332,4.472059930156659
image_61.png,4.404825737265416,0.8072916666666666,0.30432136335970783,0.8253195374315276,30,10,3.0699995913934197,4.521537562541648
image_62.png,5.282608695652174,0.8125,0.4886831275720165,0.7145061728395061,29,12,3.351754740191348,4.462854134401754
image_63.png,4.283854166666667,0.9114583333333334,0.5063829787234042,0.670516717325228,29,12,3.373625260754041,4.503810793339106
image_64.png,4.452127659574468,0.851063829787234,0.35424133811230585,0.8715651135005974,22,12,2.940921746820872,4.102048792701874
image_65.png,3.109625668449198,0.6588541666666666,0.5743766122098022,0.8787618228718831,15,10,2.7713987026458478,3.506296338977732
image_66.png,3.4293193717277486,0.6848958333333334,0.5977099236641221,0.6732824427480916,23,11,3.193977505295674,4.321411238265489
image_67.png,2.8865671641791044,0.46875,0.6483971044467425,0.7569803516028956,22,10,3.1550992982085453,4.048486858409069
image_68.png,3.216577540106952,0.671875,0.4147963424771405,0.7622610141313383,24,12,3.237301722202448,4.32321336693893
image_69.png,2.934375,0.4348958333333333,0.6059637912673056,0.7657082002129926,24,11,3.0496344407740654,3.9857168036621995
image_70.png,3.671875,0.7942708333333334,0.6709219858156028,0.7716312056737589,25,11,3.278462118536305,4.297463860093021
image_71.png,5.4447368421052635,0.8958333333333334,0.7965200579990334,0.8366360560657322,27,12,3.284736338436812,4.442599908647399
image_72.png,2.1164179104477614,0.3046875,0.4809590973201692,0.765867418899859,15,9,2.8401032535544988,3.605648510425617
image_73.png,4.056451612903226,0.7421052631578947,0.4367130550033135,0.7514910536779325,32,12,3.4121090581182885,4.774254985373879
image_74.png,2.2722371967654986,0.4401041666666667,0.26215895610913403,0.8908659549228944,16,8,2.7111152634037823,3.8083177853141077
image_75.png,4.697916666666667,0.8255208333333334,0.7012195121951219,0.8143015521064302,31,12,3.2684843990830035,4.5258816048608885
image_76.png,4.013123359580052,0.7395833333333334,0.5748855461085677,0.6795291039895357,25,12,3.4512409789035825,4.474480703890469
image_77.png,2.825072886297376,0.4583333333333333,0.6109391124871001,0.7110423116615067,22,11,3.197468030431561,4.208332011090762
image_78.png,2.3029315960912053,0.3098958333333333,0.4214992927864215,0.7553041018387553,17,10,3.083341587699851,3.7049522773486596
image_79.png,4.4375,0.9375,0.7863849765258216,0.8585680751173709,24,11,3.118131188015287,4.098270018238209
image_80.png,4.122395833333333,0.8854166666666666,0.4061907770056854,0.819330385344283,27,11,3.173479626130643,4.3896266162441435
image_81.png,2.1201044386422976,0.3020833333333333,0.6305418719211823,0.8423645320197044,17,10,2.9310419043850304,3.7275965266772055
image_82.png,2.083798882681564,0.34308510638297873,0.5750670241286864,0.7158176943699732,16,10,3.1023944675329096,3.7828132129136813
image_83.png,4.361979166666667,0.8307291666666666,0.5373134328358209,0.7325373134328358,30,12,3.1484599443281733,4.3450777268267675
image_84.png,2.8097826086956523,0.5182291666666666,0.3858800773694391,0.7630560928433269,20,11,3.176738955394695,4.1734624701889
image_85.png,3.251412429378531,0.640625,0.573414422241529,0.6741963509991312,26,12,3.454664552271347,4.35085359732561
image_86.png,4.1875,0.7604166666666666,0.5435323383084577,0.7288557213930348,29,12,3.3064882623539953,4.598912648002303
image_87.png,3.002645502645503,0.640625,0.5480176211453744,0.6713656387665198,21,12,3.2703431856353387,4.031150832743011
image_88.png,2.8328840970350404,0.4322916666666667,0.4357754519505233,0.7259752616555661,21,11,3.0292914692090696,4.021473251580545
image_89.png,3.078125,0.5963541666666666,0.38155668358714045,0.7436548223350253,22,12,3.268012739430422,4.247123860990396
image_90.png,2.6267409470752088,0.425531914893617,0.36585365853658536,0.7942735949098622,22,12,3.044357320485396,4.110146503059729
image_91.png,1.775,0.17447916666666666,0.47104851330203446,0.7746478873239436,14,11,2.999416639354871,3.2182659971905325
image_92.png,4.421875,0.8151041666666666,0.6425206124852768,0.8080094228504122,27,11,3.189205635655305,4.414597069935585
image_93.png,3.2317708333333335,0.6927083333333334,0.5705076551168412,0.7751813053988719,26,12,3.3089961402996373,4.24101248687467
image_94.png,2.511627906976744,0.421875,0.5636574074074074,0.8263888888888888,18,10,2.87168532691171,3.911296699556721
image_95.png,4.013440860215054,0.75,0.5706630944407234,0.8452779638312123,20,10,2.951580435938741,4.013102262649836
image_96.png,2.890957446808511,0.5989583333333334,0.3689052437902484,0.7856485740570377,17,11,3.0837611617689453,3.742601399982693
image_97.png,4.513736263736264,0.8873626373626373,0.591600730371272,0.8289713937918441,22,11,3.2507455498272972,4.220652237145998
image_98.png,3.565340909090909,0.6510416666666666,0.4701195219123506,0.6741035856573705,23,12,3.3531312477814645,4.296347037691867
image_99.png,3.422043010752688,0.7395833333333334,0.5946582875098193,0.7069913589945012,30,12,3.2385097858569942,4.643770632456173
image_100.png,1.9071207430340558,0.20572916666666666,0.37987012987012986,0.7224025974025974,17,9,2.8493922553262006,3.8401848875065965
image_101.png,3.205263157894737,0.5989583333333334,0.361247947454844,0.8177339901477833,23,11,2.980897050199606,4.200315373385625
